wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
3,20,2,agecat5;2;2.0,0.021621622,-3.834061464,0.130434783,-2.036881927,88730.0687,11.3933541,185,5.387920344,70.9812562,5.140429332
3,21,2,agecat5;2;2.0,0.013513514,-4.304065093,0.333333333,-1.098612289,47875.82534,10.77636597,148,5.849333611,59.58405567,4.245344993
3,22,2,agecat5;2;2.0,0.016260163,-4.119037175,0.260869565,-1.343734747,47484.53253,10.76815931,123,5.66705287,70.66580201,5.074349515
3,23,2,agecat5;2;2.0,0.058823529,-2.833213344,0.064516129,-2.740840024,99760.33256,11.51052591,68,5.073674056,79.5505294,5.026283237
3,24,2,agecat5;2;2.0,0.089285714,-2.415913778,0.275862069,-1.287854288,68560.63636,11.13547384,56,4.642117986,70.43906543,4.293896232
3,25,2,agecat5;2;2.0,0.058823529,-2.833213344,0.368421053,-0.99852883,17324.31579,9.759866331,34,3.626376629,70.94650975,4.922495974
3,26,2,agecat5;2;2.0,0.01754386,-4.043051268,0.226666667,-1.484274769,127103.8507,11.75275975,171,6.002787684,66.70219269,4.897285033
3,27,2,agecat5;2;2.0,0.100840336,-2.294216843,0.166666667,-1.791759469,89500.5,11.40199949,119,4.981264783,86.80404986,5.297820036
3,28,2,agecat5;2;2.0,0.031390135,-3.461261622,0.189189189,-1.665007764,48202.536,10.78316691,223,6.276755767,70.68544188,4.330383408
3,29,2,agecat5;2;2.0,0.064516129,-2.740840024,0.128205128,-2.054123734,24833.40216,10.11994489,93,5.430304213,79.8399524,5.01420425
3,30,2,agecat5;2;2.0,0.012345679,-4.394449155,0.485714286,-0.722134717,79330.95455,11.28138368,81,4.609113878,56.97368405,4.232057985
3,31,2,agecat5;2;2.0,0.048951049,-3.016934481,0.244897959,-1.406913648,15941.33766,9.676670867,143,5.069954921,79.86086905,4.687442277
3,32,2,agecat5;2;2.0,0.021505376,-3.839452313,0.219512195,-1.516347489,36286.86047,10.49921098,93,4.861795633,66.54451571,5.127048788
3,33,2,agecat5;2;2.0,0.044067797,-3.122025999,0.160714286,-1.828127113,39822.05097,10.59217608,295,5.688294921,79.82296238,5.103015288
3,34,2,agecat5;2;2.0,0.057291667,-2.859600099,0.09,-2.407945609,103582.2146,11.54812092,192,6.060547099,80.06154147,4.877798021
