id,wavenum,fdvsavings_bu_s,ifssmokerstat,fdvgrossfw_bu_s
103744,2005,12000,4.0,12000
103744,2007,44500,4.0,44500
103744,2009,48000,4.0,48000
103744,2011,9000,4.0,97000
103745,2003,19100,0.0,23800
103745,2005,27000,0.0,42000
103745,2007,12000,0.0,17000
103745,2009,9000,0.0,9000
103745,2011,600,3.0,600
103747,2003,68503.7421875,1.0,820000
103747,2005,317953.5625,1.0,962805
103747,2007,112600,1.0,173600
103747,2009,77000,1.0,383015
103747,2011,12000,1.0,442010
103748,2003,400,4.0,3400
103748,2005,3000,4.0,8000
103748,2007,17000,4.0,17000
103748,2009,6000,4.0,26000
103748,2011,8000,4.0,8000
103749,2003,1900,0.0,1905
103749,2005,5150,0.0,5156
103749,2007,6000,0.0,6000
103749,2009,8200,0.0,8206
103749,2011,8000,0.0,9000
103752,2003,202511.4375,2.0,364624
103752,2005,11600,4.0,41630
103752,2007,26000,4.0,116500
103752,2009,13300,4.0,21700
103752,2011,nan,nan,nan
103753,2003,30,4.0,30
103753,2005,46,4.0,46
103753,2007,0,4.0,0
103753,2009,150,2.0,150
103753,2011,100,4.0,106
103754,2003,39000,0.0,50200
103754,2005,2000,0.0,2000
103754,2007,5000,0.0,5000
103754,2009,38000,0.0,38500
103754,2011,43000,0.0,43200
103755,2003,35389,0.0,54902
103755,2005,31355,0.0,52355
103755,2007,35100,0.0,58100
103755,2009,50000,0.0,70000
103755,2011,nan,nan,nan
103756,2003,4500,0.0,276000
103756,2005,29949,0.0,41949
103756,2007,53000,0.0,238000
103756,2009,22000,0.0,24250
103756,2011,600,0.0,620
103757,2003,60,2.0,60
103757,2005,nan,nan,nan
103757,2007,1000,2.0,1000
103757,2009,2000,2.0,2000
103757,2011,2000,2.0,2000
103758,2003,36000,2.0,43005
103758,2005,56000,2.0,66112
103758,2007,160000,2.0,170004
103758,2009,70000,2.0,81005
103758,2011,66100,2.0,74325
103760,2003,3500,2.0,3600
103760,2005,nan,nan,nan
103760,2007,nan,nan,nan
103760,2009,nan,nan,nan
103760,2011,nan,nan,nan
103761,2003,6268.056640625,0.0,140300
103761,2005,41000,0.0,71000
103761,2007,16000,0.0,76050
103761,2009,74565.015625,0.0,93950
103761,2011,41723.46484375,-2.0,76600
103764,2003,73142.7265625,2.0,228611.015625
103764,2005,77000,2.0,1706050
103764,2007,56000,2.0,108030
103764,2009,44000,2.0,81040
103764,2011,71000,2.0,117212
103767,2003,9000,2.0,14000
103767,2005,30000,2.0,37000
103767,2007,47000,2.0,47000
103767,2009,14000,2.0,14000
103767,2011,4134,2.0,224134
103769,2003,9000,2.0,9005
103769,2005,12000,2.0,12000
103769,2007,25000,2.0,25000
103769,2009,35000,2.0,35000
103769,2011,106000,2.0,106000
103770,2003,5000,0.0,13720
103770,2005,18000,0.0,95030
103770,2007,86500,0.0,98030
103770,2009,334000,0.0,351920
103770,2011,36800,0.0,417320
103772,2003,8000,2.0,86500
103772,2005,11000,2.0,183000
103772,2007,21000,2.0,162000
103772,2009,26500,2.0,156300
103772,2011,57000,2.0,205000
103774,2003,6000,1.0,13500
103774,2005,7500,1.0,9750
103774,2007,11482,1.0,11482
103774,2009,4000,1.0,5900
103774,2011,6500,1.0,6750
103775,2003,5500,1.0,16500
103775,2005,15000,1.0,21100
103775,2007,24000,1.0,40000
103775,2009,7357.00927734375,1.0,10320.2490234375
103775,2011,14384.615234375,4.0,18700
103776,2003,25000,0.0,103100
103776,2005,60000,0.0,166005
103776,2007,90000,0.0,252505
103776,2009,120000,0.0,169005
103776,2011,135000,0.0,170030
103777,2003,6950,4.0,94960
103777,2005,nan,nan,nan
103777,2007,nan,nan,nan
103777,2009,nan,nan,nan
103777,2011,nan,nan,nan
103778,2003,16000,2.0,16000
103778,2005,23300,2.0,23300
103778,2007,21200,2.0,24200
103778,2009,10550,2.0,10550
103778,2011, ,2.0, 
103780,2003,8500,2.0,28400
103780,2005,200,2.0,9700
103780,2007,1000,2.0,8000
103780,2009,14000,2.0,14000
103780,2011,8100,2.0,8100
103781,2003,14000,0.0,29500
103781,2005,11500,0.0,24500
103781,2007,16200,0.0,36200
103781,2009,29000,0.0,44000
103781,2011,43000,0.0,43000
103782,2003,6200,2.0,7100
103782,2005,nan,nan,nan
103782,2007,nan,nan,nan
103782,2009,nan,nan,nan
103782,2011,nan,nan,nan
103783,2003,9900,0.0,11900
103783,2005,4500,0.0,19500
103783,2007,7000,0.0,14500
103783,2009,11000,0.0,18000
103783,2011,9000,0.0,11000
103784,2003,230,0.0,230
103784,2005,300,0.0,300
103784,2007,1400,0.0,1400
103784,2009,3000,0.0,3000
103784,2011,6500,0.0,6500
103787,2003,154000,1.0,304000
103787,2005,5000,1.0,5000
103787,2007,80000,1.0,252000
103787,2009,33000,1.0,178000
103787,2011,60000,1.0,226450
103789,2003,2300,0.0,121200
103789,2005,500,0.0,500
103789,2007,750,0.0,10250
103789,2009,100,0.0,7300
103789,2011,0,0.0,12200
103790,2003,36000,0.0,139000
103790,2005,45000,0.0,135000
103790,2007,236000,0.0,351000
103790,2009,88500,0.0,134500
103790,2011,nan,nan,nan
103793,2003,30,4.0,30
103793,2005,20,4.0,2020
103793,2007,10,2.0,12510
103793,2009,400,4.0,400
103793,2011,400,4.0,400
103795,2003,10600,0.0,53453
103795,2005,12000,0.0,22300
103795,2007,11807,0.0,11860
103795,2009,3400,0.0,17427
103795,2011,7800,0.0,8553
103797,2003,5000,2.0,15000
103797,2005,5000,2.0,11500
103797,2007,23000,2.0,37000
103797,2009,30000,2.0,30000
103797,2011,300,2.0,300
103799,2003,271,2.0,271
103799,2005,168,2.0,168
103799,2007,0,2.0,0
103799,2009,0,2.0,0
103799,2011,100,2.0,100
103800,2003,25000,0.0,216300
103800,2005,60000,0.0,95000
103800,2007,64000,0.0,400000
103800,2009,49000,0.0,111000
103800,2011,30000,0.0,71000
103801,2003,7000,2.0,19000
103801,2005,184736.84375,2.0,390000
103801,2007,65000,2.0,72000
103801,2009,114000,2.0,119000
103801,2011,5000,2.0,406000
103802,2003,10000,0.0,10000
103802,2005,1878,0.0,1878
103802,2007,2800,0.0,17996
103802,2009,1079,0.0,26079
103802,2011,4300,0.0,6300
103805,2003,21242.15234375,4.0,96974
103805,2005,22286.51953125,4.0,103650
103805,2007,112000,4.0,184000
103805,2009,2000,4.0,2000
103805,2011,130134.6171875,4.0,201000
103806,2003,11000,2.0,11000
103806,2005,3300,4.0,3300
103806,2007,5800,2.0,5800
103806,2009,59500,2.0,59500
103806,2011,6000,2.0,6000
103807,2003,33000,0.0,53000
103807,2005,34500,0.0,56500
103807,2007,15000,0.0,18000
103807,2009,22000,0.0,30000
103807,2011,12400,0.0,12400
103808,2003,34000,0.0,34000
103808,2005,75000,0.0,75250
103808,2007,34500,0.0,34850
103808,2009,82000,0.0,82000
103808,2011,90000,0.0,90200
103809,2003,7000,2.0,43800
103809,2005,3500,2.0,78500
103809,2007,35000,2.0,95000
103809,2009,300,2.0,310
